id,id_cliente,id_loja,id_produto,dt_venda,cliente_nome,cliente_sexo,cliente_dt_nasc,loja_cidade,produto_produto,produto_valor,dt_pgto,pg,tempo_pg,cliente_idade,venda_ano,promoção
73,340,3,2,2018-01-26,Alex Azevedo,M,1962-11-05,Curitiba,teclado,30.0,,0,,60.0,2018,0
74,923,7,5,2018-01-26,Otávio Ferreira,M,1964-01-15,Salvador,monitor,1500.0,2018-03-01,1,34.0,59.0,2018,1
75,944,6,9,2018-01-26,Igor Santos,M,1975-02-15,Recife,mesa,860.0,2018-02-16,1,21.0,48.0,2018,1
76,830,5,3,2018-01-26,Otávio Dias,M,1974-10-24,Santa Catarina,laptop básico,2300.0,2018-02-16,1,21.0,48.0,2018,1
77,397,3,3,2018-01-26,Estevan Cardoso,M,1975-06-26,Curitiba,laptop básico,2300.0,2018-01-31,1,5.0,47.0,2018,1
78,851,5,9,2018-01-26,Luiza Barbosa,F,1970-10-21,Santa Catarina,mesa,860.0,2018-02-02,1,7.0,52.0,2018,1
79,989,2,2,2018-01-29,Thiago Correia,M,1999-12-31,Rio de Janeiro,teclado,30.0,2018-02-09,1,11.0,23.0,2018,0
80,52,2,8,2018-01-29,Isabela Gomes,F,1970-05-30,Rio de Janeiro,cadeira,540.0,2018-02-28,1,30.0,52.0,2018,0
81,191,10,3,2018-01-29,Anna Castro,F,1984-02-11,Vitória,laptop básico,2300.0,2018-03-01,1,31.0,39.0,2018,1
82,724,8,3,2018-01-30,Paulo Goncalves,M,1979-11-11,Brasília,laptop básico,2300.0,2018-02-06,1,7.0,43.0,2018,0
83,971,9,4,2018-01-30,Gabrielle Sousa,F,1957-12-11,Palmas,laptop gamer,5300.0,2018-02-26,1,27.0,65.0,2018,1
84,640,2,3,2018-01-30,Rafaela Araujo,F,1981-11-07,Rio de Janeiro,laptop básico,2300.0,2018-03-15,1,44.0,41.0,2018,0
85,248,2,3,2018-01-31,André Castro,M,1974-04-08,Rio de Janeiro,laptop básico,2300.0,,0,,48.0,2018,0
86,621,2,8,2018-01-31,Gabrielle Santos,F,1983-03-28,Rio de Janeiro,cadeira,540.0,2018-02-25,1,25.0,39.0,2018,1
87,537,7,9,2018-01-31,Leila Melo,F,1989-10-22,Salvador,mesa,860.0,2018-02-12,1,12.0,33.0,2018,0
88,503,4,8,2018-01-31,Samuel Araujo,M,1982-08-19,Belo Horizonte,cadeira,540.0,2018-03-17,1,45.0,40.0,2018,0
89,71,2,3,2018-01-31,Kauê Araujo,M,1973-05-09,Rio de Janeiro,laptop básico,2300.0,2018-03-07,1,35.0,49.0,2018,0
90,438,2,7,2018-01-31,Manuela Barbosa,F,1976-11-06,Rio de Janeiro,carregador,150.0,,0,,46.0,2018,0
91,906,10,10,2018-02-03,Beatrice Oliveira,F,1960-01-08,Vitória,xxx-231a,321.1352,2018-03-04,1,29.0,63.0,2018,1
92,509,2,9,2018-02-03,Erick Martins,M,1973-03-30,Rio de Janeiro,mesa,860.0,,0,,49.0,2018,0
93,738,2,3,2018-02-03,Alice Pereira,F,1986-02-28,Rio de Janeiro,laptop básico,2300.0,2018-02-25,1,22.0,37.0,2018,1
94,460,2,3,2018-02-03,Camila Ferreira,F,1970-11-05,Rio de Janeiro,laptop básico,2300.0,,0,,52.0,2018,0
95,402,6,2,2018-02-03,Clara Melo,F,1959-02-12,Recife,teclado,30.0,2018-02-23,1,20.0,64.0,2018,1
96,241,2,6,2018-02-03,Danilo Pereira,M,1988-06-24,Rio de Janeiro,impressora,700.0,,0,,34.0,2018,0
97,762,4,6,2018-02-04,Vinícius Goncalves,M,1958-06-29,Belo Horizonte,impressora,700.0,2018-03-21,1,45.0,64.0,2018,0
98,747,2,3,2018-02-04,Evelyn Castro,F,1945-06-29,Rio de Janeiro,laptop básico,2300.0,2018-02-04,1,0.0,77.0,2018,0
99,848,5,2,2018-02-04,Matilde Ribeiro,F,1988-10-20,Santa Catarina,teclado,30.0,2018-02-24,1,20.0,34.0,2018,1
100,290,2,6,2018-02-04,Mateus Castro,M,1941-03-18,Rio de Janeiro,impressora,700.0,,0,,81.0,2018,1
101,153,1,3,2018-02-04,Maria Almeida,F,2000-06-07,São Paulo,laptop básico,2300.0,2018-03-20,1,44.0,22.0,2018,0
102,807,8,3,2018-02-04,Murilo Almeida,M,2000-03-06,Brasília,laptop básico,2300.0,,0,,23.0,2018,0
103,771,2,10,2018-02-06,Renan Pereira,M,1948-02-16,Rio de Janeiro,xxx-231a,321.1352,,0,,75.0,2018,0
104,94,9,9,2018-02-06,Mariana Ferreira,F,1995-12-16,Palmas,mesa,860.0,2018-02-11,1,5.0,27.0,2018,0
105,144,6,9,2018-02-06,José Carvalho,M,1989-04-18,Recife,mesa,860.0,2018-03-18,1,40.0,33.0,2018,1
106,503,2,1,2018-02-07,Samuel Araujo,M,1982-08-19,Rio de Janeiro,mouse,20.0,2018-03-11,1,32.0,40.0,2018,0
107,826,2,3,2018-02-07,Brenda Cunha,F,1994-08-19,Rio de Janeiro,laptop básico,2300.0,2018-03-09,1,30.0,28.0,2018,0
108,818,8,3,2018-02-07,Arthur Silva,M,1949-03-09,Brasília,laptop básico,2300.0,2018-03-19,1,40.0,73.0,2018,1
109,886,7,3,2018-02-10,Bruna Sousa,F,1948-08-14,Salvador,laptop básico,2300.0,2018-02-28,1,18.0,74.0,2018,1
110,859,2,10,2018-02-10,Giovanna Lima,F,1977-01-14,Rio de Janeiro,xxx-231a,321.1352,2018-02-21,1,11.0,46.0,2018,0
111,329,8,4,2018-02-10,Yasmin Silva,F,1990-07-31,Brasília,laptop gamer,5300.0,2018-03-14,1,32.0,32.0,2018,1
112,74,2,3,2018-02-11,Julia Carvalho,F,1949-12-02,Rio de Janeiro,laptop básico,2300.0,,0,,73.0,2018,0
113,935,2,6,2018-02-11,Lucas Almeida,M,1936-02-14,Rio de Janeiro,impressora,700.0,,0,,87.0,2018,1
114,712,2,8,2018-02-11,Mateus Almeida,M,1949-04-16,Rio de Janeiro,cadeira,540.0,2018-03-06,1,23.0,73.0,2018,0
115,131,10,9,2018-02-13,Enzo Souza,M,1998-08-08,Vitória,mesa,860.0,2018-02-25,1,12.0,24.0,2018,0
116,750,7,3,2018-02-13,Alex Cunha,M,1983-10-02,Salvador,laptop básico,2300.0,2018-02-15,1,2.0,39.0,2018,0
117,556,2,3,2018-02-13,Luiza Ferreira,F,1997-12-19,Rio de Janeiro,laptop básico,2300.0,,0,,25.0,2018,0
118,833,1,10,2018-02-15,Isabella Rocha,F,1990-04-26,São Paulo,xxx-231a,321.1352,2018-02-19,1,4.0,32.0,2018,0
119,502,2,3,2018-02-15,Eduarda Costa,F,1958-02-20,Rio de Janeiro,laptop básico,2300.0,2018-02-17,1,2.0,65.0,2018,0
120,880,2,3,2018-02-15,Ágatha Azevedo,F,1981-07-23,Rio de Janeiro,laptop básico,2300.0,,0,,41.0,2018,1
121,20,2,5,2018-02-20,Kauan Barros,M,1963-01-04,Rio de Janeiro,monitor,1500.0,2018-03-17,1,25.0,60.0,2018,1
122,404,7,3,2018-02-20,Igor Fernandes,M,1949-08-05,Salvador,laptop básico,2300.0,2018-02-26,1,6.0,73.0,2018,1
123,166,6,3,2018-02-20,Marisa Ribeiro,F,1992-06-28,Recife,laptop básico,2300.0,2018-03-28,1,36.0,30.0,2018,1
124,261,2,3,2018-02-20,Clara Melo,F,1944-08-02,Rio de Janeiro,laptop básico,2300.0,,0,,78.0,2018,0
125,25,2,3,2018-02-20,Otávio Carvalho,M,1943-08-09,Rio de Janeiro,laptop básico,2300.0,,0,,79.0,2018,0
126,481,7,3,2018-02-20,Joao Azevedo,M,1941-09-09,Salvador,laptop básico,2300.0,2018-03-05,1,13.0,81.0,2018,0
127,852,2,3,2018-02-21,Giovanna Pinto,F,1998-08-11,Rio de Janeiro,laptop básico,2300.0,,0,,24.0,2018,0
128,310,5,3,2018-02-21,Yasmin Correia,F,1987-08-18,Santa Catarina,laptop básico,2300.0,2018-02-25,1,4.0,35.0,2018,0
129,319,6,9,2018-02-21,Luan Alves,M,1985-12-09,Recife,mesa,860.0,,0,,37.0,2018,0
130,79,2,1,2018-02-22,Thaís Pinto,F,1943-09-05,Rio de Janeiro,mouse,20.0,2018-02-22,1,0.0,79.0,2018,0
131,833,2,10,2018-02-22,Isabella Rocha,F,1990-04-26,Rio de Janeiro,xxx-231a,321.1352,,0,,32.0,2018,1
132,556,8,3,2018-02-22,Luiza Ferreira,F,1997-12-19,Brasília,laptop básico,2300.0,2018-03-14,1,20.0,25.0,2018,1
133,592,7,3,2018-02-22,Alex Alves,M,1984-05-04,Salvador,laptop básico,2300.0,2018-03-28,1,34.0,38.0,2018,1
134,767,9,7,2018-02-22,Lara Alves,F,1980-03-01,Palmas,carregador,150.0,2018-03-13,1,19.0,43.0,2018,0
135,495,4,3,2018-02-22,Vitór Lima,M,1979-01-20,Belo Horizonte,laptop básico,2300.0,2018-03-02,1,8.0,44.0,2018,0
136,505,7,3,2018-02-22,Marina Gomes,F,1991-06-17,Salvador,laptop básico,2300.0,2018-04-03,1,40.0,31.0,2018,1
137,621,8,3,2018-02-22,Gabrielle Santos,F,1983-03-28,Brasília,laptop básico,2300.0,2018-02-22,1,0.0,39.0,2018,0
138,902,3,3,2018-02-22,Clara Gomes,F,1935-07-06,Curitiba,laptop básico,2300.0,2018-03-14,1,20.0,87.0,2018,0
139,154,10,3,2018-02-22,Marina Azevedo,F,1955-08-19,Vitória,laptop básico,2300.0,2018-03-25,1,31.0,67.0,2018,1
140,421,7,2,2018-02-22,Igor Cardoso,M,1998-09-01,Salvador,teclado,30.0,2018-02-26,1,4.0,24.0,2018,0
141,834,7,5,2018-02-22,Beatrice Correia,F,1938-07-08,Salvador,monitor,1500.0,2018-02-26,1,4.0,84.0,2018,0
142,444,2,3,2018-02-23,Mariana Almeida,F,1964-12-15,Rio de Janeiro,laptop básico,2300.0,,0,,58.0,2018,1
143,655,7,7,2018-02-23,Julian Dias,M,1964-11-07,Salvador,carregador,150.0,2018-03-15,1,20.0,58.0,2018,1
144,913,1,1,2018-02-23,Vitor Martins,M,1941-09-21,São Paulo,mouse,20.0,2018-02-23,1,0.0,81.0,2018,0
145,739,8,3,2018-02-23,Ana Silva,F,1979-03-24,Brasília,laptop básico,2300.0,2018-02-26,1,3.0,43.0,2018,0
146,423,7,7,2018-02-23,Letícia Cardoso,F,1961-07-07,Salvador,carregador,150.0,2018-03-25,1,30.0,61.0,2018,0
147,642,4,3,2018-02-23,Kauê Cunha,M,1948-04-01,Belo Horizonte,laptop básico,2300.0,2018-03-01,1,6.0,74.0,2018,0
148,207,10,2,2018-02-23,Breno Barros,M,1976-11-18,Vitória,teclado,30.0,2018-03-26,1,31.0,46.0,2018,1
149,612,2,3,2018-02-23,Vitor Costa,M,1989-06-21,Rio de Janeiro,laptop básico,2300.0,2018-03-02,1,7.0,33.0,2018,0
150,382,2,3,2018-02-23,Luana Silva,F,1939-07-03,Rio de Janeiro,laptop básico,2300.0,,0,,83.0,2018,1
151,900,10,3,2018-02-24,Victor Ribeiro,M,1944-12-24,Vitória,laptop básico,2300.0,2018-04-05,1,40.0,78.0,2018,0
152,419,7,3,2018-02-24,Melissa Araujo,F,1999-07-15,Salvador,laptop básico,2300.0,2018-03-01,1,5.0,23.0,2018,0
153,436,2,9,2018-02-24,Ana Correia,F,1952-06-28,Rio de Janeiro,mesa,860.0,2018-03-24,1,28.0,70.0,2018,1
154,846,4,5,2018-02-24,Pedro Martins,M,1995-03-18,Belo Horizonte,monitor,1500.0,2018-03-29,1,33.0,27.0,2018,1
155,715,2,3,2018-02-24,Rafael Santos,M,1967-05-15,Rio de Janeiro,laptop básico,2300.0,,0,,55.0,2018,0
156,686,7,6,2018-02-24,Danilo Ferreira,M,1973-03-26,Salvador,impressora,700.0,2018-03-06,1,10.0,49.0,2018,1
157,192,4,4,2018-02-25,Luana Pinto,F,2002-05-19,Belo Horizonte,laptop gamer,5300.0,2018-04-08,1,42.0,20.0,2018,0
158,59,6,1,2018-02-25,Rodrigo Ribeiro,M,1941-11-05,Recife,mouse,20.0,2018-03-15,1,18.0,81.0,2018,0
159,329,6,3,2018-02-25,Yasmin Silva,F,1990-07-31,Recife,laptop básico,2300.0,2018-03-12,1,15.0,32.0,2018,0
160,329,10,3,2018-02-26,Yasmin Silva,F,1990-07-31,Vitória,laptop básico,2300.0,2018-03-25,1,27.0,32.0,2018,0
161,826,2,6,2018-02-26,Brenda Cunha,F,1994-08-19,Rio de Janeiro,impressora,700.0,2018-03-07,1,9.0,28.0,2018,0
162,762,10,3,2018-02-26,Vinícius Goncalves,M,1958-06-29,Vitória,laptop básico,2300.0,,0,,64.0,2018,1
163,542,9,3,2018-02-26,Nicole Barbosa,F,1935-03-23,Palmas,laptop básico,2300.0,2018-02-28,1,2.0,87.0,2018,0
164,558,5,5,2018-02-26,Mariana Castro,F,1983-01-04,Santa Catarina,monitor,1500.0,2018-03-06,1,8.0,40.0,2018,0
165,686,9,4,2018-02-26,Danilo Ferreira,M,1973-03-26,Palmas,laptop gamer,5300.0,,0,,49.0,2018,0
166,891,5,3,2018-02-28,Sofia Souza,F,1941-07-08,Santa Catarina,laptop básico,2300.0,2018-03-24,1,24.0,81.0,2018,0
167,517,2,6,2018-02-28,Caio Barbosa,M,1958-03-09,Rio de Janeiro,impressora,700.0,2018-03-23,1,23.0,64.0,2018,0
168,194,10,3,2018-02-28,Cauã Carvalho,M,1975-07-31,Vitória,laptop básico,2300.0,2018-03-15,1,15.0,47.0,2018,0
169,309,6,6,2018-03-01,Diego Correia,M,1958-09-17,Recife,impressora,700.0,2018-03-25,1,24.0,64.0,2018,1
170,191,6,8,2018-03-01,Anna Castro,F,1984-02-11,Recife,cadeira,540.0,2018-03-20,1,19.0,39.0,2018,0
171,65,10,10,2018-03-01,Luiza Araujo,F,1976-01-19,Vitória,xxx-231a,321.1352,2018-04-07,1,37.0,47.0,2018,1
172,406,3,1,2018-03-02,Maria Carvalho,F,1972-06-12,Curitiba,mouse,20.0,2018-04-03,1,32.0,50.0,2018,1
173,974,2,7,2018-03-02,Bruno Pinto,M,1974-07-06,Rio de Janeiro,carregador,150.0,,0,,48.0,2018,0
174,803,1,3,2018-03-02,Ágatha Carvalho,F,1998-09-14,São Paulo,laptop básico,2300.0,2018-03-02,1,0.0,24.0,2018,0
175,521,6,3,2018-03-05,Murilo Oliveira,M,1960-09-21,Recife,laptop básico,2300.0,,0,,62.0,2018,0
176,560,2,1,2018-03-05,Mariana Alves,F,1952-02-27,Rio de Janeiro,mouse,20.0,,0,,71.0,2018,0
177,739,1,3,2018-03-05,Ana Silva,F,1979-03-24,São Paulo,laptop básico,2300.0,,0,,43.0,2018,1
178,659,6,3,2018-03-05,Matheus Sousa,M,1944-04-07,Recife,laptop básico,2300.0,2018-04-08,1,34.0,78.0,2018,1
179,871,8,3,2018-03-05,Julian Oliveira,M,1951-06-09,Brasília,laptop básico,2300.0,2018-03-24,1,19.0,71.0,2018,1
180,776,9,3,2018-03-05,Eduarda Melo,F,1976-03-31,Palmas,laptop básico,2300.0,2018-03-26,1,21.0,46.0,2018,1
181,797,3,3,2018-03-06,Miguel Barros,M,1942-11-02,Curitiba,laptop básico,2300.0,2018-04-18,1,43.0,80.0,2018,1
182,547,2,3,2018-03-06,Kaua Fernandes,M,2001-10-17,Rio de Janeiro,laptop básico,2300.0,2018-04-10,1,35.0,21.0,2018,1
183,493,2,1,2018-03-06,Ryan Pereira,M,1950-02-08,Rio de Janeiro,mouse,20.0,2018-03-26,1,20.0,73.0,2018,1
184,330,3,3,2018-03-06,Matilde Goncalves,F,1948-11-01,Curitiba,laptop básico,2300.0,2018-03-28,1,22.0,74.0,2018,1
185,735,2,3,2018-03-06,Sofia Oliveira,F,1937-10-23,Rio de Janeiro,laptop básico,2300.0,2018-03-22,1,16.0,85.0,2018,0
186,493,2,3,2018-03-06,Ryan Pereira,M,1950-02-08,Rio de Janeiro,laptop básico,2300.0,2018-04-16,1,41.0,73.0,2018,1
187,940,3,3,2018-03-07,Otávio Melo,M,1963-03-27,Curitiba,laptop básico,2300.0,2018-04-07,1,31.0,59.0,2018,1
188,29,6,6,2018-03-07,Samuel Martins,M,1956-02-13,Recife,impressora,700.0,2018-03-11,1,4.0,67.0,2018,0
189,491,7,3,2018-03-07,Nicolash Ribeiro,M,1961-07-26,Salvador,laptop básico,2300.0,2018-04-18,1,42.0,61.0,2018,1
190,916,2,3,2018-03-08,Arthur Rocha,M,1963-09-22,Rio de Janeiro,laptop básico,2300.0,2018-04-17,1,40.0,59.0,2018,0
191,147,2,6,2018-03-08,Gabriela Martins,F,1957-05-29,Rio de Janeiro,impressora,700.0,,0,,65.0,2018,0
192,826,9,10,2018-03-08,Brenda Cunha,F,1994-08-19,Palmas,xxx-231a,321.1352,2018-03-31,1,23.0,28.0,2018,1
193,743,5,7,2018-03-09,Gabrielly Barros,F,1946-04-06,Santa Catarina,carregador,150.0,2018-03-27,1,18.0,76.0,2018,0
194,931,3,8,2018-03-09,Antônio Barbosa,M,1949-04-09,Curitiba,cadeira,540.0,2018-03-27,1,18.0,73.0,2018,0
195,208,7,10,2018-03-09,Kai Lima,M,2001-01-13,Salvador,xxx-231a,321.1352,2018-04-17,1,39.0,22.0,2018,1
196,252,10,7,2018-03-14,André Gomes,M,1993-07-21,Vitória,carregador,150.0,2018-04-03,1,20.0,29.0,2018,1
197,428,9,10,2018-03-14,Leonardo Dias,M,1959-07-07,Palmas,xxx-231a,321.1352,2018-04-15,1,32.0,63.0,2018,1
